epoch,bbox_reshaped_binary_io_u,bbox_reshaped_mae,label_reshaped_binary_accuracy,label_reshaped_precision,label_reshaped_recall,loss,val_bbox_reshaped_binary_io_u,val_bbox_reshaped_mae,val_label_reshaped_binary_accuracy,val_label_reshaped_precision,val_label_reshaped_recall,val_loss
0,0.7766085863113403,0.17108093202114105,0.8394534587860107,0.8655391335487366,0.8893364667892456,0.3467096984386444,0.9994017481803894,0.05306786298751831,0.9668367505073547,0.9793851971626282,0.9918525815010071,0.08201449364423752
1,0.6025606393814087,0.11410277336835861,0.9511414170265198,0.9608224034309387,0.9583938121795654,0.13456201553344727,0.9976635575294495,0.05297258868813515,0.9751734733581543,0.9846343994140625,0.99372798204422,0.05883311107754707
2,0.574128270149231,0.09357012063264847,0.9633713960647583,0.9696903824806213,0.9692053198814392,0.10019691288471222,0.9878137707710266,0.047981999814510345,0.9795085787773132,0.9883275628089905,0.9932149052619934,0.049774594604969025
3,0.5600810647010803,0.07961098104715347,0.9693812727928162,0.9748205542564392,0.9743569493293762,0.082970030605793,0.9783495664596558,0.043385669589042664,0.9765074849128723,0.9832247495651245,0.9970630407333374,0.049803659319877625
4,0.5548372864723206,0.07366541773080826,0.9730918407440186,0.9776509404182434,0.9768312573432922,0.07401559501886368,0.9736518263816833,0.040966931730508804,0.9788915514945984,0.9860311150550842,0.9966030120849609,0.04502974823117256
5,0.5529565215110779,0.07076183706521988,0.9758073687553406,0.9794532060623169,0.9796499609947205,0.06674490869045258,0.971907377243042,0.03889107331633568,0.9840852618217468,0.9922067523002625,0.9933741688728333,0.039253219962120056
6,0.5528941750526428,0.06799016147851944,0.9776360988616943,0.9810308218002319,0.9808819890022278,0.06196232885122299,0.9730370044708252,0.03631490096449852,0.9831349849700928,0.9894656538963318,0.996258020401001,0.0366976372897625
7,0.5541984438896179,0.06607817858457565,0.9795704483985901,0.982487142086029,0.9829503893852234,0.05704473704099655,0.9701483845710754,0.03576994687318802,0.9865110516548157,0.9931907057762146,0.9935333728790283,0.03438908979296684
8,0.5547128915786743,0.06485940515995026,0.9801696538925171,0.9833880066871643,0.9829586148262024,0.055411625653505325,0.9728619456291199,0.0338224358856678,0.986319363117218,0.9922139644622803,0.9954264760017395,0.03214036673307419
9,0.5545861124992371,0.06361663341522217,0.982044517993927,0.9847779273986816,0.9845760464668274,0.05097578465938568,0.9652901887893677,0.03570329025387764,0.986919641494751,0.9926387071609497,0.9948602914810181,0.0321529395878315
10,0.5544235706329346,0.06288906186819077,0.9819622039794922,0.984718382358551,0.9846436977386475,0.05046418681740761,0.9659216403961182,0.03425029665231705,0.9865694642066956,0.9919811487197876,0.9958510994911194,0.031850673258304596
11,0.5542954206466675,0.0620008260011673,0.9837735891342163,0.9862882494926453,0.9861770272254944,0.04633687809109688,0.9713196754455566,0.03255335986614227,0.9868696331977844,0.9917003512382507,0.9967622756958008,0.030897749587893486
12,0.5540621280670166,0.06131335720419884,0.9843761920928955,0.9867473840713501,0.9869314432144165,0.04492774233222008,0.9634853005409241,0.034401558339595795,0.9883866310119629,0.9938257336616516,0.9953203201293945,0.02980797551572323
13,0.5537077784538269,0.060644254088401794,0.9851222634315491,0.9874034523963928,0.9874439239501953,0.043522197753190994,0.9671429991722107,0.03328540921211243,0.9885367751121521,0.9936016201972961,0.9959572553634644,0.028354067355394363
14,0.5535040497779846,0.06020951643586159,0.9859268665313721,0.9882797002792358,0.9880548119544983,0.04115620627999306,0.9658299684524536,0.033354341983795166,0.9893953204154968,0.9946773052215576,0.9951964616775513,0.02772505022585392
15,0.5532271862030029,0.059562548995018005,0.9861182570457458,0.9880951642990112,0.9882106184959412,0.04085368663072586,0.9670867323875427,0.03240317106246948,0.988586962223053,0.9940296411514282,0.9956476092338562,0.028057485818862915
16,0.5529283285140991,0.05877679958939552,0.9868432283401489,0.9890021085739136,0.9888337850570679,0.039019666612148285,0.964493989944458,0.032319508492946625,0.9882535934448242,0.9929336309432983,0.9969126582145691,0.027708759531378746
17,0.5523057579994202,0.05806798115372658,0.9871903657913208,0.9891706705093384,0.9890429377555847,0.03777430206537247,0.9656798839569092,0.03157152235507965,0.9891454577445984,0.9952248930931091,0.9937722086906433,0.029202768579125404
18,0.5520924925804138,0.05718325078487396,0.9878464341163635,0.9896512031555176,0.989596426486969,0.03628158941864967,0.9630621671676636,0.03219825401902199,0.9890953302383423,0.9941771626472473,0.9953468441963196,0.027972517535090446
