epoch,bbox_reshaped_binary_io_u,bbox_reshaped_mae,label_reshaped_binary_accuracy,label_reshaped_precision,label_reshaped_recall,loss,val_bbox_reshaped_binary_io_u,val_bbox_reshaped_mae,val_label_reshaped_binary_accuracy,val_label_reshaped_precision,val_label_reshaped_recall,val_loss
0,0.9996854662895203,0.04653073847293854,0.9185022115707397,0.9690260291099548,0.888039231300354,0.3127703070640564,0.9999998807907104,0.045325540006160736,0.96722012758255,0.9788289070129395,0.991826057434082,0.0859396904706955
1,0.9999391436576843,0.04564892128109932,0.9610125422477722,0.9774148464202881,0.9773814082145691,0.1317451000213623,0.9998123049736023,0.042897894978523254,0.9746565222740173,0.9845385551452637,0.9925426244735718,0.0643632635474205
2,0.9974356293678284,0.044883452355861664,0.9692648649215698,0.9817972779273987,0.9857731461524963,0.09468045085668564,0.9952625632286072,0.0422913059592247,0.9773991703987122,0.9861198663711548,0.9942676424980164,0.05400727689266205
3,0.9899761080741882,0.04185955971479416,0.9743273854255676,0.9849565029144287,0.9889414310455322,0.07546930015087128,0.9849022030830383,0.04039819538593292,0.9824013710021973,0.9909473061561584,0.9925602674484253,0.045731522142887115
4,0.981713593006134,0.038089148700237274,0.9775215983390808,0.9872174263000488,0.990498960018158,0.06337856501340866,0.9794625043869019,0.035927463322877884,0.9825597405433655,0.989854097366333,0.9951080083847046,0.04066650569438934
5,0.9753900766372681,0.03489059954881668,0.9800117015838623,0.988649845123291,0.9917070269584656,0.05430023744702339,0.9768801927566528,0.03303147107362747,0.9844270944595337,0.9910869002342224,0.9954618811607361,0.036341581493616104
6,0.9717585444450378,0.03275150805711746,0.9824588894844055,0.9902079105377197,0.9926567673683167,0.046852827072143555,0.9708194732666016,0.0320570133626461,0.9830600023269653,0.988703727722168,0.997257649898529,0.03634433448314667
7,0.9698275923728943,0.031217064708471298,0.9838947653770447,0.9911261796951294,0.9932911396026611,0.04276040196418762,0.9703213572502136,0.030909309163689613,0.9861279129981995,0.9916974902153015,0.9964172840118408,0.03154202923178673
8,0.9682832956314087,0.02962707355618477,0.9853915572166443,0.9920032620429993,0.9938799738883972,0.03882591798901558,0.9687394499778748,0.029652856290340424,0.9878868460655212,0.9931005835533142,0.9957449436187744,0.029319558292627335
9,0.9666917324066162,0.02845277450978756,0.9863525032997131,0.9927332401275635,0.9943586587905884,0.035549357533454895,0.9693459272384644,0.028274517506361008,0.9880954027175903,0.9932801723480225,0.996390700340271,0.02804151177406311
10,0.9651224613189697,0.027295280247926712,0.9874776601791382,0.9932106137275696,0.9947613477706909,0.032429538667201996,0.9654318690299988,0.027797361835837364,0.9889873266220093,0.9937537908554077,0.9964526295661926,0.02631727233529091
11,0.9635156989097595,0.02646123617887497,0.9885390996932983,0.9936502575874329,0.9951525926589966,0.030322743579745293,0.9661238193511963,0.026522422209382057,0.9899628162384033,0.9948474764823914,0.9957891702651978,0.0253429152071476
12,0.9624108672142029,0.02562856860458851,0.989103376865387,0.9943225979804993,0.9953311681747437,0.028276663273572922,0.9651796817779541,0.0262705460190773,0.9904211759567261,0.9949551820755005,0.9962137937545776,0.02437158301472664
13,0.9613230228424072,0.02516729198396206,0.9895102381706238,0.9945275783538818,0.995543897151947,0.02712913788855076,0.9651192426681519,0.025576461106538773,0.9904796481132507,0.994982898235321,0.9964880347251892,0.023531753569841385
