epoch,bbox_reshaped_binary_io_u,bbox_reshaped_mae,label_reshaped_binary_accuracy,label_reshaped_precision,label_reshaped_recall,loss,val_bbox_reshaped_binary_io_u,val_bbox_reshaped_mae,val_label_reshaped_binary_accuracy,val_label_reshaped_precision,val_label_reshaped_recall,val_loss
0,0.7724758982658386,0.16613702476024628,0.8415658473968506,0.8670948147773743,0.8920174837112427,0.34352990984916687,0.9993579387664795,0.05196317285299301,0.9659197926521301,0.9778248071670532,0.993144154548645,0.07976983487606049
1,0.5917742252349854,0.10231206566095352,0.9509382247924805,0.9608543515205383,0.9585305452346802,0.13167425990104675,0.9944685101509094,0.052538253366947174,0.9761655926704407,0.9864287376403809,0.9927814602851868,0.057974763214588165
2,0.5731784105300903,0.08652666956186295,0.9631496667861938,0.9695411920547485,0.9685328602790833,0.09948279708623886,0.9904252290725708,0.04841890186071396,0.9789251685142517,0.987622082233429,0.9931087493896484,0.052854251116514206
3,0.567852258682251,0.08048699051141739,0.9692554473876953,0.974409818649292,0.9737083911895752,0.0843481570482254,0.9862589836120605,0.045075539499521255,0.9793919324874878,0.9859700798988342,0.9965587854385376,0.04589061066508293
4,0.5646824240684509,0.0766185075044632,0.9730244278907776,0.9774629473686218,0.9772117733955383,0.07414627075195312,0.9833390712738037,0.042860087007284164,0.9819430112838745,0.9889689683914185,0.9953380227088928,0.04157621040940285
5,0.5635635256767273,0.07270947098731995,0.9758337140083313,0.9798048138618469,0.9794671535491943,0.06705758720636368,0.9786975979804993,0.04150174930691719,0.983701765537262,0.9898903965950012,0.9961164593696594,0.03752889111638069
6,0.5628380179405212,0.0700153037905693,0.977109432220459,0.9809250235557556,0.9807069897651672,0.06269746273756027,0.9814466238021851,0.03744175285100937,0.9837853312492371,0.9899827241897583,0.9949045777320862,0.041161198168992996
7,0.5620763897895813,0.06791313737630844,0.9792894124984741,0.9827093482017517,0.9824689030647278,0.057954080402851105,0.9737268686294556,0.038579061627388,0.9802172183990479,0.9861781597137451,0.9978857636451721,0.04058695584535599
8,0.5615188479423523,0.06644612550735474,0.9807493090629578,0.9839025735855103,0.9840350151062012,0.0536685474216938,0.9783641695976257,0.03606584668159485,0.9842603206634521,0.9903033971786499,0.9965145587921143,0.03522482514381409
9,0.5610384941101074,0.06517526507377625,0.982164204120636,0.9850572943687439,0.9850994348526001,0.05052231624722481,0.9738935828208923,0.03638794273138046,0.9841518998146057,0.9895547032356262,0.9973018765449524,0.035139698535203934
10,0.5604529976844788,0.06414640694856644,0.9834033846855164,0.9861263036727905,0.9860619902610779,0.04776255041360855,0.96574866771698,0.036323823034763336,0.9847689270973206,0.9902294278144836,0.9969657063484192,0.03486640378832817
