epoch,bbox_reshaped_binary_io_u,bbox_reshaped_mae,label_reshaped_binary_accuracy,label_reshaped_precision,label_reshaped_recall,loss,val_bbox_reshaped_binary_io_u,val_bbox_reshaped_mae,val_label_reshaped_binary_accuracy,val_label_reshaped_precision,val_label_reshaped_recall,val_loss
0,0.9995363354682922,0.03676490858197212,0.9260439276695251,0.9718608260154724,0.9055748581886292,0.2823809087276459,0.9999998807907104,0.0310837272554636,0.9690544009208679,0.9798873066902161,0.9921356439590454,0.08391235023736954
1,0.9999998807907104,0.03543689474463463,0.9629132747650146,0.9781851768493652,0.9804965257644653,0.12429112195968628,0.9999998807907104,0.035302843898534775,0.9737978577613831,0.9834738373756409,0.9949753284454346,0.06396345049142838
2,0.9999998807907104,0.03893769159913063,0.9708723425865173,0.9827328324317932,0.9865557551383972,0.09203948825597763,0.9999998807907104,0.038399286568164825,0.980167031288147,0.9883307814598083,0.993489146232605,0.05377022176980972
3,0.9993621706962585,0.04235585778951645,0.9753564596176147,0.9855819344520569,0.9893897175788879,0.07460997998714447,0.9965589046478271,0.042737364768981934,0.9826263189315796,0.9904459118843079,0.9940995573997498,0.046626634895801544
4,0.9901502728462219,0.04065074771642685,0.9785326719284058,0.9877230525016785,0.9911676049232483,0.0621318519115448,0.9859463572502136,0.03691339120268822,0.983776867389679,0.9907255172729492,0.9950637817382812,0.0401250384747982
5,0.9803435206413269,0.03620288521051407,0.9813193678855896,0.989691972732544,0.9920869469642639,0.05221492797136307,0.9800398349761963,0.03438084200024605,0.9868445992469788,0.9934994578361511,0.9937191605567932,0.03574632480740547
6,0.9763323664665222,0.03413482382893562,0.9831767678260803,0.9907928705215454,0.9929834604263306,0.046349506825208664,0.9752628803253174,0.03379426151514053,0.98801189661026,0.9945193529129028,0.9936483502388,0.03309428319334984
7,0.97381192445755,0.0329400971531868,0.9847415089607239,0.9916896224021912,0.9936938285827637,0.040990520268678665,0.9755651354789734,0.032878488302230835,0.9867029190063477,0.9922477602958679,0.9964084029197693,0.031603727489709854
8,0.9714298844337463,0.03197398781776428,0.9859738349914551,0.9924336671829224,0.9940623641014099,0.0374094657599926,0.9723221659660339,0.03182743489742279,0.9899544715881348,0.9957102537155151,0.9938164353370667,0.029484307393431664
9,0.9694113731384277,0.030711820349097252,0.9872207045555115,0.9931085705757141,0.9947119355201721,0.034311894327402115,0.9716197848320007,0.030198656022548676,0.9898043274879456,0.9948720932006836,0.9954352974891663,0.02718864567577839
10,0.9674312472343445,0.02945687063038349,0.9879923462867737,0.9935398697853088,0.9949778914451599,0.03205007687211037,0.9670325517654419,0.030216127634048462,0.9903546571731567,0.9956526756286621,0.9947807192802429,0.027198396623134613
11,0.965297520160675,0.028210600838065147,0.9888460040092468,0.9940544366836548,0.9952703714370728,0.02972031943500042,0.9679662585258484,0.027920622378587723,0.9908297061920166,0.9959543943405151,0.9952495694160461,0.025102583691477776
12,0.9633254408836365,0.02653666026890278,0.989542543888092,0.9945767521858215,0.9955629110336304,0.027309110388159752,0.9641876220703125,0.02659486047923565,0.9909548163414001,0.9954821467399597,0.9960545897483826,0.023874452337622643
13,0.9614900350570679,0.025102674961090088,0.9905216693878174,0.9950208067893982,0.9960035681724548,0.02499077096581459,0.9634581804275513,0.025446832180023193,0.9914466738700867,0.9960528016090393,0.9956122636795044,0.02304871566593647
14,0.9599654674530029,0.02389858290553093,0.9907505512237549,0.995191216468811,0.9961023330688477,0.023848149925470352,0.9614698886871338,0.024348756298422813,0.9918467402458191,0.9962380528450012,0.9956299662590027,0.022716080769896507
15,0.9587284326553345,0.022847387939691544,0.9914937019348145,0.9955962300300598,0.996265709400177,0.0225784070789814,0.9623056650161743,0.023440729826688766,0.9909715056419373,0.9951174855232239,0.9970453381538391,0.021919813007116318
16,0.9577825665473938,0.02203119918704033,0.9919078946113586,0.9958136081695557,0.9967177510261536,0.02105831354856491,0.9592148065567017,0.02274073287844658,0.9918551445007324,0.9958012700080872,0.9965676665306091,0.02116437442600727
17,0.9571430683135986,0.021349206566810608,0.9922294616699219,0.9958398938179016,0.9966721534729004,0.020398525521159172,0.9595608115196228,0.022862430661916733,0.9917467832565308,0.9960464239120483,0.9962314963340759,0.021709231659770012
18,0.956563413143158,0.020895956084132195,0.9928013682365417,0.9962342977523804,0.9969760775566101,0.019056173041462898,0.959662914276123,0.02245764248073101,0.9918467998504639,0.9955397248268127,0.997124969959259,0.020634302869439125
19,0.9560570120811462,0.020357979461550713,0.9932159185409546,0.9964315295219421,0.9971204400062561,0.01818564534187317,0.9609196782112122,0.021581385284662247,0.9920384883880615,0.9958735108375549,0.9970188140869141,0.020159587264060974
