epoch,bbox_reshaped_binary_io_u,bbox_reshaped_mae,label_reshaped_binary_accuracy,label_reshaped_precision,label_reshaped_recall,loss,val_bbox_reshaped_binary_io_u,val_bbox_reshaped_mae,val_label_reshaped_binary_accuracy,val_label_reshaped_precision,val_label_reshaped_recall,val_loss
0,0.4159645438194275,0.1778106540441513,0.8295232653617859,0.8612690567970276,0.8840782642364502,0.37234821915626526,0.3358394503593445,0.12499097734689713,0.9544911980628967,0.9636765718460083,0.9668288826942444,0.13274982571601868
1,0.3103209137916565,0.10507979243993759,0.9465180039405823,0.9584789872169495,0.9567196369171143,0.1417786329984665,0.29591044783592224,0.08996004611253738,0.9714770913124084,0.9794333577156067,0.9745875597000122,0.08356799185276031
2,0.29342541098594666,0.08373873680830002,0.9606786966323853,0.9692178964614868,0.9674261808395386,0.10386349260807037,0.2885769307613373,0.07978934049606323,0.9751931428909302,0.9821724891662598,0.9793612957000732,0.0712675005197525
3,0.2901613712310791,0.07640082389116287,0.9670631289482117,0.973268449306488,0.9727297425270081,0.08721911907196045,0.28983137011528015,0.0743454173207283,0.9766665101051331,0.9799805283546448,0.9867724180221558,0.06092720478773117
4,0.28903692960739136,0.07278266549110413,0.9715993404388428,0.9768916368484497,0.9767944812774658,0.07619541138410568,0.28214895725250244,0.07278071343898773,0.9834846258163452,0.9898892641067505,0.9787888526916504,0.05585471913218498
5,0.2890581488609314,0.07021592557430267,0.9748300909996033,0.9795395135879517,0.9792938232421875,0.06857635080814362,0.2878707945346832,0.06969309598207474,0.9781565070152283,0.9785205125808716,0.9923742413520813,0.05117563158273697
6,0.2888540029525757,0.06776921451091766,0.9768880009651184,0.9810664057731628,0.9812743067741394,0.06297203153371811,0.28206104040145874,0.06863415986299515,0.9833627343177795,0.9862277507781982,0.9867519736289978,0.047797709703445435
7,0.2885228097438812,0.0657707005739212,0.9783331155776978,0.9824431538581848,0.9825174808502197,0.05883292481303215,0.28462183475494385,0.06698734313249588,0.9855838418006897,0.9900594353675842,0.9845133423805237,0.04620497673749924
8,0.2882270812988281,0.064240001142025,0.9801771640777588,0.9838254451751709,0.9838190674781799,0.05485856160521507,0.28526774048805237,0.06560002267360687,0.986132025718689,0.9907689094543457,0.9852390885353088,0.044999271631240845
9,0.2876802980899811,0.06261061131954193,0.9809243679046631,0.9845436215400696,0.9842860698699951,0.05341244488954544,0.2892138659954071,0.06417959928512573,0.9869794249534607,0.9916446208953857,0.9851266741752625,0.04193911328911781
